,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,Short_Question_Text,Count_of_Individuals
6497,53.0,-13.0,76.0,31.0,102.0,Indiana,Carmel,1810342.0,18,10342,"Carmel city, Indiana",81756.0,38.7,106121.0,51767.0,2904.0,3.552032878320857,2.8438279759283724,2016.0,IN,Indiana,Carmel,City,BRFSS,Prevention,1810342,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.4,6.0,6.9,79191.0,"(39.9658404613, -86.1461278461)",PREVENT,ACCESS2,Health Insurance,5068.224
6525,56.0,-3.0,80.0,34.0,107.0,Indiana,Evansville,1822000.0,18,22000,"Evansville city, Indiana",119677.0,36.3,35839.0,20984.0,23230.0,19.410580144889995,4.216349006074684,2016.0,IN,Indiana,Evansville,City,BRFSS,Prevention,1822000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.6,13.2,14.0,117429.0,"(37.9867158026, -87.538270731)",PREVENT,ACCESS2,Health Insurance,15970.344000000001
6553,53.0,-13.0,76.0,31.0,102.0,Indiana,Fishers,1823278.0,18,23278,"Fishers town, Indiana",78927.0,33.8,90437.0,38577.0,2617.0,3.3157221229743943,2.720235154003066,2016.0,IN,Indiana,Fishers,City,BRFSS,Prevention,1823278,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.7,6.2,7.2,76794.0,"(39.9587635263, -85.969310702)",PREVENT,ACCESS2,Health Insurance,5145.198
6581,50.0,-15.0,75.0,28.0,103.0,Indiana,Fort Wayne,1825000.0,18,25000,"Fort Wayne city, Indiana",254435.0,34.7,43969.0,23400.0,46591.0,18.311553048912295,5.54051132902313,2016.0,IN,Indiana,Fort Wayne,City,BRFSS,Prevention,1825000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.7,13.4,13.9,253691.0,"(41.0884920417, -85.1435898792)",PREVENT,ACCESS2,Health Insurance,34755.666999999994
6609,52.0,-20.0,76.0,30.0,100.0,Indiana,Gary,1827000.0,18,27000,"Gary city, Indiana",79922.0,37.9,26885.0,15931.0,30163.0,37.74054703335752,7.956507594905032,2016.0,IN,Indiana,Gary,City,BRFSS,Health Outcomes,1827000,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,30.3,30.1,30.6,80294.0,"(41.5904779239, -87.3472907397)",HLTHOUT,ARTHRITIS,Arthritis,24329.082
6637,52.0,-20.0,76.0,30.0,100.0,Indiana,Hammond,1831000.0,18,31000,"Hammond city, Indiana",80122.0,33.2,38365.0,17920.0,18143.0,22.644217568208482,6.411472504430743,2016.0,IN,Indiana,Hammond,City,BRFSS,Prevention,1831000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.2,19.5,20.8,80830.0,"(41.6171442828, -87.4909551115)",PREVENT,ACCESS2,Health Insurance,16327.659999999998
6665,53.0,-14.0,77.0,31.0,105.0,Indiana,Indianapolis,1836003.0,18,36003,"Indianapolis city (balance), Indiana",828841.0,33.8,41962.0,24012.0,169696.0,20.47389064971448,6.281421889119867,2016.0,IN,Indiana,Indianapolis,City,BRFSS,Prevention,1836003,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.7,14.5,14.8,820445.0,"(39.7771221075, -86.145782152)",PREVENT,ACCESS2,Health Insurance,120605.415
6693,51.0,-18.0,75.0,28.0,101.0,Indiana,Lafayette,1840788.0,18,40788,"Lafayette city, Indiana",69181.0,31.3,39345.0,21646.0,13341.0,19.284196527948424,5.481273760136454,2016.0,IN,Indiana,Lafayette,City,BRFSS,Prevention,1840788,Papanicolaou smear use among adult women aged 21â65 Years,%,AgeAdjPrv,Age-adjusted prevalence,72.2,71.4,73.0,67140.0,"(40.3994285285, -86.8617007404)",PREVENT,PAPTEST,Pap Smear Test,48475.08
6721,52.0,-13.0,76.0,29.0,97.0,Indiana,Muncie,1851876.0,18,51876,"Muncie city, Indiana",69989.0,27.7,29287.0,17066.0,20847.0,29.786109245738615,7.391161468230722,2016.0,IN,Indiana,Muncie,City,BRFSS,Prevention,1851876,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.1,13.5,14.7,70085.0,"(40.1987098324, -85.3942940148)",PREVENT,ACCESS2,Health Insurance,9881.984999999999
6749,49.0,-20.0,74.0,27.0,100.0,Indiana,South Bend,1871000.0,18,71000,"South Bend city, Indiana",100863.0,33.9,34502.0,19181.0,27504.0,27.268671366110468,7.546870507520102,2016.0,IN,Indiana,South Bend,City,BRFSS,Prevention,1871000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.8,16.4,17.2,101168.0,"(41.6769914549, -86.2690372417)",PREVENT,ACCESS2,Health Insurance,16996.224000000002
6777,48.0,-25.0,73.0,24.0,102.0,Iowa,Cedar Rapids,1912000.0,19,12000,"Cedar Rapids city, Iowa",127420.0,35.6,52216.0,28458.0,14688.0,11.527232773504945,3.490032961858421,2016.0,IA,Iowa,Cedar Rapids,City,BRFSS,Prevention,1912000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.4,7.1,7.7,126326.0,"(41.966729258, -91.6781679349)",PREVENT,ACCESS2,Health Insurance,9348.124000000002
6805,50.0,-26.0,76.0,24.0,100.0,Iowa,Davenport,1919000.0,19,19000,"Davenport city, Iowa",100564.0,34.9,44817.0,24499.0,17629.0,17.53013006642536,3.501252933455312,2016.0,IA,Iowa,Davenport,City,BRFSS,Prevention,1919000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.1,8.8,9.4,99685.0,"(41.5557926876, -90.6051730163)",PREVENT,ACCESS2,Health Insurance,9071.335
6833,52.0,-20.0,78.0,28.0,105.0,Iowa,Des Moines,1921000.0,19,21000,"Des Moines city, Iowa",205415.0,33.5,45836.0,23928.0,36942.0,17.98408100674245,4.6909914076381956,2016.0,IA,Iowa,Des Moines,City,BRFSS,Prevention,1921000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.4,10.1,10.6,203433.0,"(41.5741349525, -93.6165066086)",PREVENT,ACCESS2,Health Insurance,21157.032000000003
6861,50.0,-24.0,74.0,26.0,105.0,Iowa,Iowa City,1938595.0,19,38595,"Iowa City city, Iowa",69314.0,25.6,41410.0,25671.0,17618.0,25.417664541073954,3.1869463600427044,2016.0,IA,Iowa,Iowa City,City,BRFSS,Prevention,1938595,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.3,6.9,7.7,67862.0,"(41.6558950332, -91.5308854927)",PREVENT,ACCESS2,Health Insurance,4953.9259999999995
6889,49.0,-24.0,77.0,22.0,104.0,Iowa,Sioux City,1973335.0,19,73335,"Sioux City city, Iowa",82602.0,34.4,43449.0,22143.0,13512.0,16.357957434444685,3.210576015108593,2016.0,IA,Iowa,Sioux City,City,BRFSS,Prevention,1973335,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.7,11.3,12.1,82684.0,"(42.4963149039, -96.3913834837)",PREVENT,ACCESS2,Health Insurance,9674.028
6917,47.0,-26.0,73.0,21.0,103.0,Iowa,Waterloo,1982425.0,19,82425,"Waterloo city, Iowa",68327.0,35.5,40498.0,22010.0,13155.0,19.253003936950254,5.104863377581337,2016.0,IA,Iowa,Waterloo,City,BRFSS,Prevention,1982425,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.0,9.7,10.4,68406.0,"(42.4919736932, -92.3521759342)",PREVENT,ACCESS2,Health Insurance,6840.6
6945,57.0,-7.0,81.0,35.0,105.0,Kansas,Kansas City,2036000.0,20,36000,"Kansas City city, Kansas",146581.0,33.0,38293.0,18574.0,36466.0,24.87771266398783,6.700049801816061,2016.0,KS,Kansas,Kansas City,City,BRFSS,Prevention,2036000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,25.4,25.0,25.9,145786.0,"(39.1234621409, -94.7441921112)",PREVENT,ACCESS2,Health Insurance,37029.644
6973,54.0,-15.0,81.0,28.0,107.0,Kansas,Lawrence,2038900.0,20,38900,"Lawrence city, Kansas",88921.0,26.2,45574.0,25322.0,17947.0,20.18308386095523,4.246465964170444,2016.0,KS,Kansas,Lawrence,City,BRFSS,Prevention,2038900,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.7,12.1,13.4,87643.0,"(38.9599302924, -95.2628259088)",PREVENT,ACCESS2,Health Insurance,11130.661
7001,55.0,-9.0,79.0,32.0,103.0,Kansas,Overland Park,2053775.0,20,53775,"Overland Park city, Kansas",176520.0,37.8,71094.0,39701.0,10184.0,5.769317924314525,2.918082936777702,2016.0,KS,Kansas,Overland Park,City,BRFSS,Prevention,2053775,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.9,9.7,10.3,173372.0,"(38.8872922575, -94.6872267067)",PREVENT,ACCESS2,Health Insurance,17163.828
7029,55.0,-9.0,83.0,31.0,109.0,Kansas,Topeka,2071000.0,20,71000,"Topeka city, Kansas",127625.0,35.9,40826.0,23641.0,26217.0,20.542213516160626,4.673065621939275,2016.0,KS,Kansas,Topeka,City,BRFSS,Prevention,2071000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.7,17.4,18.1,127473.0,"(39.0359549911, -95.6954155341)",PREVENT,ACCESS2,Health Insurance,22562.720999999998
7057,57.0,-15.0,84.0,33.0,109.0,Kansas,Wichita,2079000.0,20,79000,"Wichita city, Kansas",383703.0,34.0,46011.0,24766.0,66412.0,17.308178460945054,4.90535648665765,2016.0,KS,Kansas,Wichita,City,BRFSS,Prevention,2079000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.3,18.0,18.5,382368.0,"(37.690561478, -97.3429366807)",PREVENT,ACCESS2,Health Insurance,69973.344
7085,55.0,-7.0,79.0,32.0,105.0,Kentucky,Lexington,2146027.0,21,46027,"Lexington-Fayette urban county, Kentucky",300843.0,33.9,48398.0,29251.0,54459.0,18.10213300625243,4.541239118078201,2016.0,KY,Kentucky,Lexington,City,BRFSS,Prevention,2146027,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.7,7.5,7.9,295803.0,"(38.0423254022, -84.4587259608)",PREVENT,ACCESS2,Health Insurance,22776.831
7113,58.0,-3.0,81.0,37.0,104.0,Kentucky,Louisville,2148006.0,21,48006,"Louisville/Jefferson County metro government (balance), Kentucky",601611.0,37.4,44159.0,26098.0,108300.0,18.001665528057167,5.748398882334266,2016.0,KY,Kentucky,Louisville,City,BRFSS,Prevention,2148006,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.5,8.4,8.6,597337.0,"(38.1777689918, -85.6664099974)",PREVENT,ACCESS2,Health Insurance,50773.645000000004
7141,67.0,19.0,87.0,46.0,106.0,Louisiana,Baton Rouge,2205000.0,22,05000,"Baton Rouge city, Louisiana",229400.0,30.6,38593.0,23949.0,55941.0,24.385789014821274,5.219703574542284,2016.0,LA,Louisiana,Baton Rouge,City,BRFSS,Prevention,2205000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.4,16.0,16.7,229493.0,"(30.4510891679, -91.1263551997)",PREVENT,ACCESS2,Health Insurance,37636.85199999999
7169,69.0,21.0,87.0,52.0,101.0,Louisiana,Kenner,2239475.0,22,39475,"Kenner city, Louisiana",66820.0,38.6,48750.0,26074.0,9809.0,14.679736605806644,4.781502544148458,2016.0,LA,Louisiana,Kenner,City,BRFSS,Prevention,2239475,Visits to dentist or dental clinic among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,58.0,57.1,58.8,66702.0,"(30.0106937201, -90.2550320135)",PREVENT,DENTAL,Dental Visit,38687.159999999996
7197,68.0,19.0,86.0,49.0,101.0,Louisiana,Lafayette,2240735.0,22,40735,"Lafayette city, Louisiana",122009.0,34.2,46288.0,28451.0,23045.0,18.887950888868854,3.4636789089329474,2016.0,LA,Louisiana,Lafayette,City,BRFSS,Prevention,2240735,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.7,14.2,15.2,120623.0,"(30.2120582815, -92.0317532321)",PREVENT,ACCESS2,Health Insurance,17731.581
7225,67.0,19.0,86.0,48.0,102.0,Louisiana,Lake Charles,2241155.0,22,41155,"Lake Charles city, Louisiana",72826.0,35.1,35981.0,23447.0,15073.0,20.697278444511575,5.543349902507346,2016.0,LA,Louisiana,Lake Charles,City,BRFSS,Prevention,2241155,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.3,16.6,18.0,71993.0,"(30.2030679966, -93.2148796496)",PREVENT,ACCESS2,Health Insurance,12454.789
7253,70.0,23.0,85.0,56.0,99.0,Louisiana,New Orleans,2255000.0,22,55000,"New Orleans city, Louisiana",357013.0,35.0,37146.0,26500.0,94602.0,26.498194743608778,6.07008708366362,2016.0,LA,Louisiana,New Orleans,City,BRFSS,Prevention,2255000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.2,16.0,16.5,343829.0,"(30.0687009935, -89.9316317895)",PREVENT,ACCESS2,Health Insurance,55700.298
7281,66.0,16.0,88.0,44.0,108.0,Louisiana,Shreveport,2270000.0,22,70000,"Shreveport city, Louisiana",200715.0,34.6,38633.0,23995.0,42203.0,21.026330867149937,4.22140846473856,2016.0,LA,Louisiana,Shreveport,City,BRFSS,Prevention,2270000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.4,17.0,17.9,199311.0,"(32.4671618864, -93.7962236108)",PREVENT,ACCESS2,Health Insurance,34680.113999999994
7309,46.0,-17.0,72.0,26.0,100.0,Maine,Portland,2360545.0,23,60545,"Portland city, Maine",66227.0,37.0,44458.0,28913.0,13350.0,20.15794162501699,4.523834689779093,2016.0,ME,Maine,Portland,City,BRFSS,Prevention,2360545,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.0,12.1,66194.0,"(43.6779836271, -70.2752544531)",PREVENT,ACCESS2,Health Insurance,7612.31
7337,58.0,1.0,80.0,41.0,107.0,Maryland,Baltimore,2404000.0,24,04000,"Baltimore city, Maryland",621445.0,34.5,41385.0,24750.0,142162.0,22.87603890931619,6.9951484041226495,2016.0,MD,Maryland,Baltimore,City,BRFSS,Prevention,2404000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.9,12.7,13.1,620961.0,"(39.3084523991, -76.6160492311)",PREVENT,ACCESS2,Health Insurance,80103.969
7365,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Boston,2507000.0,25,07000,"Boston city, Massachusetts",629182.0,31.1,53601.0,33964.0,126226.0,20.061921669723546,6.221093419710036,2016.0,MA,Massachusetts,Boston,City,BRFSS,Prevention,2507000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.7,9.6,9.9,617594.0,"(42.3155796777, -71.0916505804)",PREVENT,ACCESS2,Health Insurance,59906.617999999995
7393,49.0,-21.0,76.0,25.0,101.0,Massachusetts,Brockton,2509000.0,25,09000,"Brockton city, Massachusetts",93911.0,35.6,49025.0,21942.0,16559.0,17.63265219196899,7.972441992950772,2016.0,MA,Massachusetts,Brockton,City,BRFSS,Prevention,2509000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.2,11.8,93810.0,"(42.082071372, -71.0241656338)",PREVENT,ACCESS2,Health Insurance,10788.15
7421,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Cambridge,2511000.0,25,11000,"Cambridge city, Massachusetts",105737.0,30.8,72529.0,47448.0,13430.0,12.701324985577424,3.6638073711189083,2016.0,MA,Massachusetts,Cambridge,City,BRFSS,Prevention,2511000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.6,5.4,5.8,105162.0,"(42.3758188051, -71.1183992378)",PREVENT,ACCESS2,Health Insurance,5889.071999999999
7449,50.0,-12.0,73.0,28.0,102.0,Massachusetts,Fall River,2523000.0,25,23000,"Fall River city, Massachusetts",88811.0,38.7,33211.0,21257.0,20397.0,22.966749614349574,8.096969969936156,2016.0,MA,Massachusetts,Fall River,City,BRFSS,Prevention,2523000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.3,10.9,11.7,88857.0,"(41.7139907598, -71.0996396919)",PREVENT,ACCESS2,Health Insurance,10040.841
7477,50.0,-9.0,75.0,30.0,103.0,Massachusetts,Lawrence,2534550.0,25,34550,"Lawrence city, Massachusetts",76820.0,30.9,32851.0,16987.0,22150.0,28.83363707367873,5.994532673782869,2016.0,MA,Massachusetts,Lawrence,City,BRFSS,Prevention,2534550,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.8,20.8,22.7,76377.0,"(42.7002772201, -71.1626790341)",PREVENT,ACCESS2,Health Insurance,16650.186
7505,50.0,-9.0,75.0,30.0,103.0,Massachusetts,Lowell,2537000.0,25,37000,"Lowell city, Massachusetts",107466.0,32.9,49452.0,23136.0,19670.0,18.303463420988965,6.176837325293581,2016.0,MA,Massachusetts,Lowell,City,BRFSS,Prevention,2537000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.6,11.2,11.9,106519.0,"(42.6388727331, -71.321714396)",PREVENT,ACCESS2,Health Insurance,12356.204
7533,49.0,-8.0,74.0,29.0,100.0,Massachusetts,Lynn,2537490.0,25,37490,"Lynn city, Massachusetts",90788.0,34.2,44849.0,22982.0,18914.0,20.83314975547429,5.594351676433009,2016.0,MA,Massachusetts,Lynn,City,BRFSS,Prevention,2537490,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.7,13.3,14.1,90329.0,"(42.4783322881, -70.9662372538)",PREVENT,ACCESS2,Health Insurance,12375.072999999999
7561,50.0,-12.0,73.0,28.0,102.0,Massachusetts,New Bedford,2545000.0,25,45000,"New Bedford city, Massachusetts",94927.0,36.9,35999.0,21056.0,21828.0,22.9945115720501,6.602968596921845,2016.0,MA,Massachusetts,New Bedford,City,BRFSS,Prevention,2545000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.1,12.7,13.4,95072.0,"(41.6712667258, -70.9441204537)",PREVENT,ACCESS2,Health Insurance,12454.432
7589,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Newton,2545560.0,25,45560,"Newton city, Massachusetts",86241.0,40.1,119148.0,63872.0,4504.0,5.222573949745481,3.1678667918971253,2016.0,MA,Massachusetts,Newton,City,BRFSS,Prevention,2545560,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.4,4.2,4.7,85146.0,"(42.3316567616, -71.2084466944)",PREVENT,ACCESS2,Health Insurance,3746.4240000000004
7617,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Quincy,2555745.0,25,55745,"Quincy city, Massachusetts",92595.0,38.4,61328.0,33131.0,9626.0,10.395809708947567,6.100761380204115,2016.0,MA,Massachusetts,Quincy,City,BRFSS,Prevention,2555745,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.1,6.8,7.4,92271.0,"(42.2492981918, -71.0218764062)",PREVENT,ACCESS2,Health Insurance,6551.240999999999
7645,51.0,-6.0,76.0,34.0,103.0,Massachusetts,Somerville,2562535.0,25,62535,"Somerville city, Massachusetts",76945.0,31.3,67118.0,34781.0,10989.0,14.281629735525375,4.647475469491195,2016.0,MA,Massachusetts,Somerville,City,BRFSS,Prevention,2562535,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.8,6.4,7.2,75754.0,"(42.3905738858, -71.1017450879)",PREVENT,ACCESS2,Health Insurance,5151.272
7673,48.0,-21.0,74.0,24.0,101.0,Massachusetts,Springfield,2567000.0,25,67000,"Springfield city, Massachusetts",153428.0,32.2,34311.0,18133.0,43397.0,28.284928435487654,6.571160414005266,2016.0,MA,Massachusetts,Springfield,City,BRFSS,Prevention,2567000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.1,15.8,16.6,153060.0,"(42.1154977999, -72.5395254143)",PREVENT,ACCESS2,Health Insurance,24642.66
7701,49.0,-14.0,74.0,28.0,103.0,Massachusetts,Worcester,2582000.0,25,82000,"Worcester city, Massachusetts",181901.0,33.6,45932.0,24330.0,36635.0,20.140076195293044,5.650326276381109,2016.0,MA,Massachusetts,Worcester,City,BRFSS,Prevention,2582000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.0,10.8,11.3,181045.0,"(42.2705425446, -71.8079404584)",PREVENT,ACCESS2,Health Insurance,19914.95
7729,47.0,-30.0,73.0,22.0,102.0,Michigan,Ann Arbor,2603000.0,26,03000,"Ann Arbor city, Michigan",115331.0,27.5,55003.0,34247.0,22914.0,19.86803201220834,4.090834207628478,2016.0,MI,Michigan,Ann Arbor,City,BRFSS,Prevention,2603000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.8,7.5,8.2,113934.0,"(42.2756833567, -83.7311374448)",PREVENT,ACCESS2,Health Insurance,8886.852
7757,50.0,-14.0,74.0,30.0,101.0,Michigan,Dearborn,2621000.0,26,21000,"Dearborn city, Michigan",97140.0,33.2,46739.0,21262.0,26611.0,27.394482190652667,4.943380687667284,2016.0,MI,Michigan,Dearborn,City,BRFSS,Prevention,2621000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.3,12.7,14.0,98153.0,"(42.3126884626, -83.2129368006)",PREVENT,ACCESS2,Health Insurance,13054.349
7785,50.0,-12.0,74.0,31.0,100.0,Michigan,Detroit,2622000.0,26,22000,"Detroit city, Michigan",706663.0,34.9,26325.0,14870.0,273850.0,38.75255956516755,11.749730776904974,2016.0,MI,Michigan,Detroit,City,BRFSS,Prevention,2622000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.1,19.8,20.3,713777.0,"(42.3847015631, -83.1053178776)",PREVENT,ACCESS2,Health Insurance,143469.177
7813,48.0,-19.0,72.0,27.0,99.0,Michigan,Farmington Hills,2627440.0,26,27440,"Farmington Hills city, Michigan",80376.0,42.7,69700.0,40604.0,5927.0,7.37409176868717,3.5881357619189806,2016.0,MI,Michigan,Farmington Hills,City,BRFSS,Prevention,2627440,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.8,7.5,8.2,79740.0,"(42.4859956992, -83.3771159714)",PREVENT,ACCESS2,Health Insurance,6219.72
7841,48.0,-21.0,74.0,25.0,100.0,Michigan,Flint,2629000.0,26,29000,"Flint city, Michigan",101649.0,34.3,24834.0,14360.0,41286.0,40.61623823156155,10.307036960521009,2016.0,MI,Michigan,Flint,City,BRFSS,Prevention,2629000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.0,17.6,18.5,102434.0,"(43.0236339386, -83.6920640313)",PREVENT,ACCESS2,Health Insurance,18438.12
7869,50.0,-12.0,74.0,31.0,100.0,Michigan,Troy,2680700.0,26,80700,"Troy city, Michigan",81700.0,41.1,85685.0,40022.0,5841.0,7.149326805385557,4.381884944920441,2016.0,MI,Michigan,Troy,City,BRFSS,Health Outcomes,2680700,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.1,2.0,2.2,80980.0,"(42.5817340358, -83.1457545154)",HLTHOUT,STROKE,Stroke,1700.5800000000002
7897,49.0,-11.0,73.0,28.0,101.0,Michigan,Grand Rapids,2634000.0,26,34000,"Grand Rapids city, Michigan",189735.0,31.0,39227.0,20214.0,49016.0,25.833926265580942,6.8094974569794715,2016.0,MI,Michigan,Grand Rapids,City,BRFSS,Prevention,2634000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.3,14.0,14.6,188040.0,"(42.9614815414, -85.6556858473)",PREVENT,ACCESS2,Health Insurance,26889.720000000005
7925,49.0,-15.0,73.0,27.0,103.0,Michigan,Kalamazoo,2642160.0,26,42160,"Kalamazoo city, Michigan",74812.0,25.9,31893.0,18468.0,23205.0,31.01775116291504,7.522857295621024,2016.0,MI,Michigan,Kalamazoo,City,BRFSS,Prevention,2642160,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.0,12.6,13.5,74262.0,"(42.2748756474, -85.588188576)",PREVENT,ACCESS2,Health Insurance,9654.06
7953,48.0,-14.0,73.0,26.0,98.0,Michigan,Lansing,2646000.0,26,46000,"Lansing city, Michigan",114274.0,32.0,36054.0,19440.0,32642.0,28.564677879482648,7.820676619353484,2016.0,MI,Michigan,Lansing,City,BRFSS,Prevention,2646000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.8,13.4,14.1,114297.0,"(42.7090711751, -84.5584470022)",PREVENT,ACCESS2,Health Insurance,15772.986
7981,50.0,-14.0,74.0,30.0,101.0,Michigan,Livonia,2649000.0,26,49000,"Livonia city, Michigan",96233.0,44.2,68973.0,32249.0,5780.0,6.006255650348633,4.530670352166097,2016.0,MI,Michigan,Livonia,City,BRFSS,Prevention,2649000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.2,7.9,8.6,96942.0,"(42.3971592737, -83.3733073683)",PREVENT,ACCESS2,Health Insurance,7949.243999999999
8009,48.0,-19.0,72.0,27.0,99.0,Michigan,Rochester Hills,2669035.0,26,69035,"Rochester Hills city, Michigan",71737.0,41.3,78160.0,38892.0,4715.0,6.572619429304265,4.527649608988388,2016.0,MI,Michigan,Rochester Hills,City,BRFSS,Prevention,2669035,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.3,6.9,7.7,70995.0,"(42.6645256768, -83.1563037157)",PREVENT,ACCESS2,Health Insurance,5182.634999999999
8037,50.0,-12.0,74.0,31.0,100.0,Michigan,Southfield,2674900.0,26,74900,"Southfield city, Michigan",72331.0,42.3,49841.0,28635.0,11379.0,15.731843884364933,7.038475895535801,2016.0,MI,Michigan,Southfield,City,BRFSS,Prevention,2674900,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.8,10.4,11.3,71739.0,"(42.4765016267, -83.2605284738)",PREVENT,ACCESS2,Health Insurance,7747.812000000001
